state,abbr,population,age,income,poverty,crime,price_1996apr,price_1996may,price_1996jun,price_1996jul,price_1996aug,price_1996sep,price_1996oct,price_1996nov,price_1996dec,price_1997jan,price_1997feb,price_1997mar,price_1997apr,price_1997may,price_1997jun,price_1997jul,price_1997aug,price_1997sep,price_1997oct,price_1997nov,price_1997dec,price_1998jan,price_1998feb,price_1998mar,price_1998apr,price_1998may,price_1998jun,price_1998jul,price_1998aug,price_1998sep,price_1998oct,price_1998nov,price_1998dec,price_1999jan,price_1999feb,price_1999mar,price_1999apr,price_1999may,price_1999jun,price_1999jul,price_1999aug,price_1999sep,price_1999oct,price_1999nov,price_1999dec,price_2000jan,price_2000feb,price_2000mar,price_2000apr,price_2000may,price_2000jun,price_2000jul,price_2000aug,price_2000sep,price_2000oct,price_2000nov,price_2000dec,price_2001jan,price_2001feb,price_2001mar,price_2001apr,price_2001may,price_2001jun,price_2001jul,price_2001aug,price_2001sep,price_2001oct,price_2001nov,price_2001dec,price_2002jan,price_2002feb,price_2002mar,price_2002apr,price_2002may,price_2002jun,price_2002jul,price_2002aug,price_2002sep,price_2002oct,price_2002nov,price_2002dec,price_2003jan,price_2003feb,price_2003mar,price_2003apr,price_2003may,price_2003jun,price_2003jul,price_2003aug,price_2003sep,price_2003oct,price_2003nov,price_2003dec,price_2004jan,price_2004feb,price_2004mar,price_2004apr,price_2004may,price_2004jun,price_2004jul,price_2004aug,price_2004sep,price_2004oct,price_2004nov,price_2004dec,price_2005jan,price_2005feb,price_2005mar,price_2005apr,price_2005may,price_2005jun,price_2005jul,price_2005aug,price_2005sep,price_2005oct,price_2005nov,price_2005dec,price_2006jan,price_2006feb,price_2006mar,price_2006apr,price_2006may,price_2006jun,price_2006jul,price_2006aug,price_2006sep,price_2006oct,price_2006nov,price_2006dec,price_2007jan,price_2007feb,price_2007mar,price_2007apr,price_2007may,price_2007jun,price_2007jul,price_2007aug,price_2007sep,price_2007oct,price_2007nov,price_2007dec,price_2008jan,price_2008feb,price_2008mar,price_2008apr,price_2008may,price_2008jun,price_2008jul,price_2008aug,price_2008sep,price_2008oct,price_2008nov,price_2008dec,price_2009jan,price_2009feb,price_2009mar,price_2009apr,price_2009may,price_2009jun,price_2009jul,price_2009aug,price_2009sep,price_2009oct,price_2009nov,price_2009dec,price_2010jan,price_2010feb,price_2010mar,price_2010apr,price_2010may,price_2010jun,price_2010jul,price_2010aug,price_2010sep,price_2010oct,price_2010nov,price_2010dec,price_2011jan,price_2011feb,price_2011mar,price_2011apr,price_2011may,price_2011jun,price_2011jul,price_2011aug,price_2011sep,price_2011oct,price_2011nov,price_2011dec,price_2012jan,price_2012feb,price_2012mar,price_2012apr,price_2012may,price_2012jun,price_2012jul,price_2012aug,price_2012sep,price_2012oct,price_2012nov,price_2012dec,price_2013jan,price_2013feb,price_2013mar,price_2013apr,price_2013may,price_2013jun,price_2013jul,price_2013aug,price_2013sep,price_2013oct,price_2013nov,price_2013dec,price_2014jan,price_2014feb,price_2014mar,price_2014apr,price_2014may,price_2014jun,price_2014jul,price_2014aug,price_2014sep,price_2014oct,price_2014nov,price_2014dec,price_2015jan,price_2015feb,price_2015mar,price_2015apr,price_2015may,price_2015jun,price_2015jul,price_2015aug,price_2015sep,price_2015oct,price_2015nov,price_2015dec,price_2016jan,price_2016feb,price_2016mar,price_2016apr,price_2016may,price_2016jun,price_2016jul,price_2016aug,price_2016sep,price_2016oct,price_2016nov,price_2016dec,price_2017jan,price_2017feb,price_2017mar,price_2017apr,price_2017may,price_2017jun,price_2017jul,price_2017aug,price_2017sep,price_2017oct,price_2017nov,price_2017dec,price_2018jan,price_2018feb,price_2018mar,price_2018apr,price_2018may,price_2018jun,price_2018jul,price_2018aug,price_2018sep
Alabama,AL,4860545,38.6,47221,18.4,532.2723254,75700,76300,77000,77700,78300,78800,79100,79300,79300,79300,79300,79200,79200,79200,79300,79400,79500,79600,79700,79800,79900,79900,79900,79900,79900,79900,79900,80000,80100,80400,80700,81100,81700,82300,82900,83400,83900,84400,84700,84900,85100,85300,85400,85500,85700,85900,86000,86100,86300,86400,86400,86500,86700,87000,87300,87600,88100,88500,89000,89400,89700,90000,90300,90700,90900,91200,91400,91600,91800,92000,92200,92500,92700,93000,93200,93400,93700,94000,94200,94500,94800,95200,95500,95800,96100,96400,96800,97100,97500,97900,98200,98500,98800,99100,99400,99800,100100,100400,100800,101200,101700,102400,103000,103600,103900,103800,103200,102300,101100,100000,99200,98600,98200,97900,97800,97900,98400,99200,100500,102200,104200,106200,108000,109500,110500,111300,111700,111900,111900,112000,112100,112200,112500,112700,112700,112700,112600,112400,112300,112200,112100,112100,112000,111900,111900,111700,111400,110900,110400,109900,109500,109100,108700,108300,107800,107400,106900,106500,105800,105200,104700,104300,104000,103700,103600,103600,103600,103100,102200,101800,101800,101500,101100,100700,100300,99800,99300,98500,97800,97300,97000,96800,96600,96700,96500,95900,95500,95400,95200,95100,95400,95700,95700,95400,95300,95700,96900,98500,99700,100500,101200,102100,103000,104200,105400,106300,107000,107500,107800,108100,108500,108900,109400,110000,110100,109900,109800,109900,110200,110500,110800,111100,111600,112200,112700,112800,112500,112400,112500,112700,113100,113300,113400,113600,114000,114400,114800,115300,115700,115900,116300,116800,117200,117600,117900,117800,117900,118200,118400,118600,118800,119100,119600,120300,120300,120100,120200,120600,120800,121000,121400,122300,123400,124600,125500,126100,126500,127300,128000,128300
Alaska,AK,741522,33.6,75723,10.1,804.1580064,117800,118500,119400,120500,121700,122700,123600,124300,124800,125200,125300,125200,125100,125100,125100,125200,125500,125900,126700,127700,129000,130500,131800,132900,133900,134800,135700,136700,138000,139400,141000,142600,144300,146000,147600,149100,150500,151800,152800,153700,154500,155000,155500,155800,156000,156100,156000,155800,155500,155100,154500,153900,153200,152800,152900,153600,155400,158000,161100,164600,168200,171500,174500,177100,179100,180700,182000,183000,183900,184800,185600,186200,186900,187500,188200,188800,189400,190000,190500,191000,191400,191800,192200,192800,193600,194800,196300,198000,199800,201500,203100,204400,205400,206400,207400,208500,209700,211000,212400,213800,215300,216800,218300,219900,221600,223300,225100,226700,228300,229900,231500,233400,235700,238200,240900,243700,246200,248300,250100,251900,253600,255200,256700,258300,259800,261300,262700,264100,265500,266800,268000,269200,270100,270900,271600,272200,272500,272600,272800,273000,273100,273200,273300,273400,273400,273500,273400,273300,273400,273400,273600,273800,274000,274400,274700,275100,275400,275600,275800,276000,276100,276100,276100,276200,276200,276400,276500,276600,277000,277600,278300,278500,278500,278500,278600,278600,278800,279000,279000,278800,278600,278400,278100,278200,278300,278500,278500,278200,277800,277400,277200,277100,276800,276900,277100,277200,277300,277400,277600,278200,278800,279000,279100,279300,279900,280800,281700,282500,283200,283900,284400,284700,284800,285000,285400,286200,286500,285500,284600,285400,287500,289500,291300,293100,294800,296400,297800,299400,301000,302400,303100,302800,301700,301000,300800,300400,300000,300600,301900,302500,302500,303100,304100,304900,305100,304800,304400,304000,303900,303800,304100,304700,305200,305400,305700,305800,305800,306200,306900,307600,308400,308700,307900,306900,306700,307300,308300,309200,309800,310200
Arizona,AZ,6908642,37.1,57100,17.7,470.1005083,100100,100600,101100,101700,102200,102700,103300,103800,104400,105000,105500,105900,106300,106700,107100,107600,108100,108700,109400,110100,110800,111700,112400,112900,113400,113900,114400,114900,115300,115700,116100,116600,117200,117700,118300,118800,119300,119800,120300,120700,121200,121800,122300,122700,123200,123700,124200,124500,124800,125200,125600,126000,126400,126900,127500,128100,128900,129800,130600,131300,132000,132600,133300,133800,134300,134700,135300,135900,136600,137300,138100,138700,139400,140000,140500,140900,141500,142200,143000,143900,144900,145700,146500,147300,147900,148500,149200,149800,150600,151400,152300,153200,154200,155300,156500,157900,159500,161300,163400,166000,169000,172300,176000,180000,184500,189200,194200,199800,206200,213200,220900,228800,236400,243300,249400,254400,258400,261600,264100,266400,268300,269300,269400,268600,267200,265300,263300,261300,259400,257800,256300,254800,253400,251900,250100,247800,245200,242200,238900,235400,231700,227800,223600,219400,215400,211700,208000,204500,201100,197700,194300,190900,187600,184200,180700,177100,173500,170000,166700,164100,162200,160500,159100,158100,157500,157100,156900,156100,154700,153200,151800,149900,147900,146200,144800,143100,141500,140400,139700,138800,137500,135900,134400,133000,132000,131600,131800,132400,133100,133900,135000,136700,138800,141100,143300,145600,148000,150000,151500,153100,155000,156400,157900,159900,162000,164200,166500,168900,170600,172200,173700,174900,176000,177000,177300,177500,178100,178900,179500,179900,180400,181200,182100,183000,183700,184200,184900,185800,186800,188100,189500,191000,192600,194100,195400,196600,198000,199300,200200,201200,202600,204000,205600,207400,209100,210600,212100,213900,215300,216200,217200,218700,220300,221700,223100,224400,225800,227100,228600,229800,230900,232900,235000,236500,237700,239200,240600,242100,243500,244600
Arkansas,AR,2988231,37.7,45907,18.8,550.857894,62400,62200,61900,61600,61400,61200,61100,61000,61000,61000,61200,61300,61500,61800,62100,62400,62600,62800,63200,63500,64000,64500,65000,65400,65700,65900,66100,66400,66700,66900,67100,67200,67400,67500,67600,67700,67800,68000,68300,68500,68700,68800,69000,69200,69400,69700,70000,70400,70800,71100,71300,71500,71700,71800,71900,72100,72400,72700,73100,73500,73900,74200,74500,74700,74800,74900,74900,74800,74800,74900,74900,75000,75200,75400,75700,76100,76600,77200,77800,78500,79100,79400,79400,79400,79500,79700,79900,80200,80500,80800,81100,81500,81800,82300,82800,83300,83700,84200,84700,85200,85700,86200,86700,87200,87900,88500,89300,90100,90800,91500,92200,92900,93500,94200,94900,95600,96400,97100,97600,98100,98600,99000,99500,100100,100700,101500,102100,102400,102400,102200,102000,102000,102200,102400,102500,102600,102700,102700,102700,102700,102800,102800,102800,102800,102800,102600,102200,101800,101400,101000,100600,100200,100000,99800,99700,99700,99700,99500,99300,99000,98700,98400,98200,98100,98100,98200,98400,98200,97700,97500,97700,97700,97400,96900,96600,96500,96000,95500,95100,95000,94900,94700,94400,94000,93800,93800,94000,93900,94000,94200,94100,93600,93300,93600,93800,93900,94100,94200,94400,94600,94900,95200,95500,96100,96600,96800,97000,97400,97800,98100,98300,98500,98700,98700,98900,99300,99500,99400,99500,99800,100200,100600,100900,101100,101500,101900,102000,102100,102300,102700,103200,103600,103900,104300,104800,105400,106000,106400,106600,107100,107800,108600,109200,109900,110400,111000,111800,112500,112900,113200,113500,114100,114700,115100,115500,116000,116400,116600,116600,116700,116900,117800,119000,120200,121100,121700,121900,122000,122400,122800
California,CA,39296476,36,66637,15.8,445.3399345,163000,162700,162300,162000,161800,161700,161600,161700,161900,162200,162500,162500,162600,162700,163000,163400,163900,164600,165400,166500,167900,169500,171000,172300,173500,174700,175700,176600,177500,178400,179300,180200,181500,182800,184200,185400,186700,188100,189600,191100,192800,194700,196800,199100,201800,204700,207400,210100,212800,215600,218300,221100,223700,226300,228800,231300,233900,236500,239000,241400,243700,246000,248300,250600,252700,254900,257300,259800,262400,265200,268000,270900,273900,277100,280500,284100,288000,292000,296300,300700,305100,309300,313500,317900,322400,327100,332000,337300,342700,348400,354400,360400,366700,373500,380800,388700,397500,406900,416500,425900,434800,443100,450800,457800,464700,471300,477700,484200,490700,497000,503000,508600,513500,518000,522200,525700,528800,531600,534000,536300,538300,539600,540100,539500,537500,534800,532200,529500,526900,524600,522000,518900,515400,511500,507300,502100,495800,489000,481900,474500,466700,458500,449500,439500,428500,417600,407100,398400,391500,385800,380200,374900,369800,365000,360100,354600,348700,342500,337400,334400,333100,332700,332900,333400,334200,335000,335400,335000,335000,335600,335500,334200,332900,331100,328800,326500,323800,320900,318500,316700,314700,312800,311000,309100,307100,305200,303500,302300,301400,300900,300800,301700,303800,306300,308500,310600,312700,315300,318500,322600,326700,330400,335000,341300,348500,355700,363300,370200,376200,380900,384600,387600,390500,393300,396500,399900,402800,405200,407400,409500,411400,412900,414800,416600,418800,421300,424200,426700,429000,431400,434200,436700,439000,441800,444400,446900,449700,452800,455200,457200,459200,461300,463400,466200,469600,473100,476900,480500,483800,487200,490400,493200,496000,499000,502100,505300,508200,511500,515000,518400,521800,526700,531900,535000,536400,538200,539900,541400,543200,544900
Colorado,CO,5530105,36.4,70566,12.2,342.6197242,126400,126500,126600,126700,126900,127300,127700,128100,128400,128600,128700,128800,129100,129600,130300,131200,132100,133000,133900,134700,135400,135900,136300,136700,137200,138000,139100,140300,141600,142800,144100,145300,146500,147800,149000,150200,151500,152900,154300,155800,157400,158900,160500,162100,163900,165800,167700,169400,171200,173000,174800,176600,178300,180100,181800,183500,185400,187200,188900,190400,191900,193100,194200,195300,196400,197300,198100,199000,199800,200600,201400,202300,203000,203700,204200,204700,205000,205400,205900,206300,206800,207200,207800,208400,208900,209400,209700,210000,210400,210800,211300,211900,212500,213000,213500,214000,214400,214900,215400,216000,216600,217300,218000,218700,219400,220200,220900,221600,222400,223000,223600,224200,224700,225400,226100,226700,227400,228100,228700,229400,230000,230600,231000,231300,231600,231700,231800,231800,231900,232000,232000,232200,232400,232500,232500,232400,232100,231600,230800,229700,228700,227600,226500,225500,224700,224000,223300,222600,221900,221300,220800,220500,220200,220100,219900,219500,218800,217800,216800,216200,216100,216100,216200,216200,216400,216700,217100,216700,215900,215400,215100,214300,213300,212300,211400,210600,209500,208400,207400,207000,206600,206000,205600,205100,204900,204900,205100,205500,206000,206500,207000,207700,208700,210000,211400,212700,213900,215100,216600,218000,219000,219900,221000,222600,224200,225700,227300,229400,231500,233000,234200,235400,236700,237800,238800,239800,241400,243500,245300,247100,249200,251300,253500,255900,258500,261200,263700,266500,269600,272900,276200,279300,282400,285600,288600,291000,293500,295900,298500,301300,304100,306700,309400,312300,314900,317200,319300,322000,324700,327500,330900,334300,336700,338600,340000,341300,342800,344600,346600,348600,350800,354400,358600,361600,363300,364700,365800,366600,367300,368100
Connecticut,CT,3587685,40.6,75923,10.4,227.1245357,133900,133500,133100,132700,132400,132200,132100,132200,132500,132800,133000,133200,133300,133400,133600,133800,134000,134200,134400,134700,135100,135600,136100,136400,136800,137300,137700,138200,138800,139600,140300,141100,142000,142900,143800,144600,145500,146400,147300,148200,148900,149700,150400,151300,152300,153500,154700,155800,156800,157700,158700,159600,160400,161400,162400,163500,164600,165900,167200,168600,169900,171300,172700,174100,175600,177100,178600,180100,181700,183200,184900,186500,188100,189700,191400,193100,194900,196800,198900,201000,203200,205400,207400,209600,212000,214500,217200,220000,222700,225300,227700,230100,232400,234700,237000,239300,241600,243900,246300,248900,251400,254100,256800,259400,261900,264400,266800,269100,271600,274000,276300,278500,280700,282600,284500,286000,287200,288100,288800,289400,289900,290100,290100,289900,289400,288900,288200,287600,287100,286900,286700,286500,286200,285600,284600,283600,282500,281400,280100,278600,276900,275200,273400,271800,270400,269100,267600,265700,263600,261400,259500,257800,256200,254700,253200,251400,249400,247000,244700,243100,242300,242100,242300,242600,243100,243800,244400,243900,242800,242300,242100,241100,239500,238200,236900,234900,232900,231400,230100,229100,228400,227600,226900,226400,225600,224600,223400,222000,220500,218600,217000,216400,216200,215900,215700,215800,215700,215400,215600,215800,215700,215600,215800,216200,216900,217800,218400,219300,220200,220400,220400,221000,221600,221700,221700,221600,221200,220700,220500,220600,220400,220100,219900,220400,221000,221600,221700,221600,221500,221700,221900,221900,222000,222200,222400,222400,222600,222800,223200,223700,224100,224400,224700,224700,224800,225500,226100,226500,226900,227500,228000,228600,229400,230100,230100,230500,231700,233100,234000,235100,236000,237000,237500,237900,238400,239200,239900,240400,241100,241800
Delaware,DE,952698,39.6,58046,12,508.7887907,104100,104900,105700,106400,107000,107300,107500,107500,107600,107800,107900,108000,108000,108200,108300,108500,108700,109000,109400,109900,110600,111500,112200,112400,112400,112400,112200,112200,112300,112400,112600,112900,113500,114200,114900,115400,115900,116300,116700,117100,117300,117500,117500,117600,117900,118400,118900,119500,120400,121300,122400,123400,124300,125100,125800,126600,127500,128600,129800,130900,131900,132800,133700,134600,135300,135900,136500,137100,137800,138800,139900,140900,141900,143000,144100,145000,145900,146700,147400,148400,149800,151400,153200,155100,157000,158800,160600,162500,164300,166000,167500,168900,170300,171900,173700,175700,177800,180000,182500,185500,189300,194400,200400,206100,210200,212200,212700,212600,212800,213300,213800,214400,215100,216200,217500,218900,220700,222600,224700,226600,228000,229300,230500,231800,232700,233100,233200,233100,233200,233600,234200,234400,234500,234700,235300,235800,236200,236200,236100,236400,236600,236500,236400,236000,235300,234800,234600,233900,232700,231100,230000,229600,229200,228300,227200,225500,223300,221200,219500,218200,217300,216400,216200,217000,218000,218400,217900,219300,223000,225200,224700,224000,222800,221300,220700,222000,223500,224000,224700,225200,224800,224300,224100,223500,222800,223200,218500,207300,197300,193000,190900,189500,188400,187600,187100,186300,185100,183900,184100,185500,186400,186400,186700,187300,187200,186700,186600,187200,188700,190200,191700,193100,194200,194700,194900,194600,195100,196300,197400,197600,197500,197200,197500,198200,199200,200100,200600,200200,200100,200700,201700,202700,203700,205000,206200,207500,208500,209200,210400,211600,212000,212300,213300,214800,216000,216600,217500,218400,219000,219900,221300,222100,222100,221800,221100,220600,221200,221500,223400,229400,236400,238900,237900,235600,233600,232000,231600,232000,232300,232100
Florida,FL,20656589,41.6,51176,16.1,430.3226804,84600,84600,84600,84600,84600,84700,84900,85100,85500,85900,86200,86500,86600,86800,87000,87200,87400,87600,87800,88100,88500,88900,89200,89400,89500,89700,90000,90300,90700,91200,91700,92200,92800,93300,93700,94100,94500,94900,95400,95900,96500,97100,97700,98300,98900,99600,100100,100600,101100,101800,102500,103200,104100,105000,106000,106900,108000,109100,110300,111400,112600,113800,115000,116100,117200,118400,119500,120600,121700,122700,123600,124600,125400,126300,127200,128000,128900,129800,130800,131900,133100,134300,135600,137000,138400,139900,141300,142700,144100,145700,147300,148900,150700,152500,154500,156500,158800,161300,164000,167100,170300,173700,177100,180500,184200,188000,192100,196600,201500,206600,211800,217100,222300,227200,231800,236000,240000,243700,247000,250200,253300,255700,257600,258700,258900,258500,257700,256400,254900,253400,251700,249800,247700,245300,242500,239400,236000,232400,228800,225100,221300,217400,213400,209300,205200,201200,197200,193100,189200,185300,181400,177600,173900,170300,166600,162800,159000,155100,151400,148600,146600,145100,144000,143200,142800,142600,142600,141800,140400,139400,138800,137600,136100,134500,133100,131900,130500,129000,127700,126900,126300,125800,125100,124600,124400,124100,123900,123700,123600,123600,123800,124100,124600,125200,125700,126000,126300,126900,127400,127900,128700,129500,130400,131500,132700,134000,135600,137300,138900,140400,142000,143500,144700,145600,146600,147800,149200,150400,151500,152700,154000,155000,155800,156800,158000,159000,160100,161400,162700,164100,165300,166700,168100,169600,171100,172400,173700,175200,176600,178100,179800,181500,182900,184600,186400,188300,190500,192900,195400,197500,199200,200600,202300,204000,205400,206900,208400,209900,211500,213000,214200,216100,218600,220500,221700,223100,224700,225800,226900,227800
Georgia,GA,10313620,36.2,53527,17.8,397.5608637,87000,87400,87900,88400,89000,89400,89900,90300,90700,91200,91500,91900,92400,92800,93300,93800,94400,95000,95500,96000,96500,97000,97500,97900,98400,98900,99500,100300,101100,102000,102900,103800,104600,105500,106200,106900,107500,108200,109100,110000,110800,111700,112600,113300,114100,115000,115800,116600,117400,118200,118900,119700,120500,121200,122000,122800,123700,124600,125400,126000,126600,127200,127700,128200,128700,129200,129700,130400,131100,131900,132600,133400,134100,134800,135400,135900,136300,136700,137000,137400,137900,138400,138900,139300,139700,140100,140400,140700,140800,141000,141200,141500,141900,142600,143400,144200,144900,145400,145900,146400,147100,148000,148800,149400,149600,149500,149500,149600,149900,150400,151100,151800,152400,153200,153900,154600,155300,155900,156600,157200,158000,158600,159200,159900,160500,161000,161500,161900,162200,162600,162800,163100,163500,163700,163600,163500,163400,163100,162800,162400,161800,161200,160500,159800,159000,158100,156900,155600,154200,152900,151600,150400,149100,148000,146800,145600,144400,143000,141400,140100,139000,138200,137400,136700,136300,136100,136300,135400,133800,132700,132300,131600,130700,129500,128200,127100,126100,124700,123100,121800,120700,119700,118600,117500,116400,115300,114000,112800,111800,110900,110200,109900,109700,109600,109800,110000,110200,110800,111500,112200,112800,113500,114200,115000,115900,116900,117800,118600,119600,120600,121600,122700,123800,124900,125800,126800,128000,129000,129900,131000,131900,132500,133200,134200,134900,135300,135700,136500,137400,138300,138900,139600,140600,141300,141900,142400,143000,143800,144700,145800,147000,148100,148900,149900,150800,151800,152900,154000,154800,155800,156600,157500,158400,159300,159900,160600,161600,163000,164200,165400,166900,168700,170600,171900,173100,174400,175800,176900,178100,179200
